Sample1	Sample2	Sample1_length	Sample2_length	DistanceScore_d0	DistanceScore_d1	DistanceScore_d2	DistanceScore_d3	DistanceScore_d4	DistanceScore_d5	DistanceScore_d6	DistanceScore_d7	DistanceScore_d8	DistanceScore_d9	Percent_identity	Coverage_breadth_mingenome	Breakpoint_distance	Breakpoints	Alignments	l10	l20	l30	l40	l50	l60	l70	l80	l90	n10	n20	n30	n40	n50	n60	n70	n80	n90
RB5_2	SFV70_4	238932	99518	0.989901019352933	0.982827227235274	4.59532078626122	4.06443012819246	0.00234055002925693	0.00234329339797378	0.989924656522381	0.982867420969071	4.59766407965919	4.06677342159043	0.997659449970743	0.017172772764726	0.333333333333333	2	6	2	2	2	2	3	3	4	4	4	46783	46783	46783	46783	46780	46780	26085	26085	26085
RB5_4	SFV70_4	72280	99518	0.170875097498225	0.0146513558384062	0.187384468728132	0.0147597469732508	4.21224077168381e-05	4.21232948903673e-05	0.170910022235416	0.0146928610957388	0.187426592023022	0.0148018702681411	0.999957877592283	0.985348644161594	0.5	2	4	2	2	2	2	2	2	3	3	3	46788	46788	46788	46788	46788	46788	26093	26093	26093
RB5_5	SFV70_4	50517	99518	0.98892258473023	0.983550092048221	4.50284690377834	4.10743539742297	0.00481347773766549	0.00482509983175691	0.988975905622022	0.983629273313934	4.5076720036101	4.11226049725473	0.995186522262335	0.0164499079517786	0	0	2	2	2	2	2	2	2	2	2	2	1653	1653	1653	1653	1653	1653	1653	1653	1653
RB5_6	SFV70_4	33303	99518	0.98763749708254	0.97534756628532	4.39308734604059	3.70287965254833	0.00121802679658956	0.00121876919412945	0.987652554942366	0.975377593610185	4.39430611523472	3.70409842174246	0.99878197320341	0.0246524337146804	0	0	2	2	2	2	2	2	2	3	3	3	15827	15827	15827	15827	15827	15827	7550	7550	7550
RB5_7	SFV70_4	25736	99518	0.652945215322465	0.155463164438918	1.05827263058207	0.16896692549597	0	0	0.652945215322465	0.155463164438918	1.05827263058207	0.16896692549597	1	0.844536835561082	0	0	4	2	2	2	2	2	2	3	3	3	16879	16879	16879	16879	16879	16879	8602	8602	8602
RB5_11	SFV70_4	1873	99518	0.963053919973173	0	3.29829572579957	0	0	0	0.963053919973173	0	3.29829572579957	0	1	1	0	0	2	2	2	2	2	3	3	3	3	3	2698	2698	2698	2698	2695	2695	2695	2695	2695
SFV70_2	SFV70_4	243736	99518	0.964294662261765	0.938423199823148	3.33245508489586	2.78747009988762	0.043652088772846	0.0446335082571923	0.965853274834379	0.941111155770815	3.37708859315305	2.83210360814481	0.956347911227154	0.0615768001768524	0.5	4	8	2	2	2	2	4	4	4	6	8	5058	5058	5058	5058	3908	3908	3908	1648	1642
SFV70_3	SFV70_4	172207	99518	0.891132578894102	0.851373620852509	2.21762445720007	1.90631964463668	0.0558109661280508	0.0574288851378311	0.897208574845892	0.859668602664845	2.2750533423379	1.96374852977451	0.944189033871949	0.148626379147491	0.833333333333333	20	24	2	2	2	4	4	6	8	12	16	10653	10653	10653	4237	4237	3908	2520	1642	1369
SFV70_4	SFV131_2	99518	421101	0.93029451479873	0.817671175063807	2.66347626701988	1.70194349166088	0.0601267566822816	0.0620102603451758	0.934485679546847	0.828634015956912	2.72548652736505	1.76395375200605	0.939873243317718	0.182328824936192	0.84375	27	32	2	2	4	4	6	8	10	14	18	10653	10653	5058	5058	4237	3912	2520	1642	1452
SFV70_4	SFV131_3	99518	103447	0.0390362870445643	0.0200667215981029	0.039818630396522	0.0202707928986603	6.1525209954727e-05	6.15271027080921e-05	0.0390954105387629	0.0201270121987982	0.0398801574992302	0.0203323200013684	0.999938474790045	0.979933278401897	0	0	10	2	2	2	2	4	4	4	6	6	91916	91916	91916	91916	55952	55952	55952	31174	31174
