qname	sname	pid	alnlen	mismatches	gapopens	qstart	qend	sstart	send	evalue	bitscore	qcov	qcovhsp	qlength	slength	strand
B|1	A|1	90	3	0	0	1	3	1	3	missing	missing	missing	missing	30	30	+
B|1	A|1	70	4	0	0	2	5	3	6	missing	missing	missing	missing	30	30	+
B|1	A|1	70	3	0	0	6	8	24	26	missing	missing	missing	missing	30	30	+
B|1	A|1	70	11	0	0	10	20	10	20	missing	missing	missing	missing	30	30	+
B|1	A|1	80	6	0	0	23	28	17	22	missing	missing	missing	missing	30	30	-
B|1	A|1	90	3	0	0	27	29	27	29	missing	missing	missing	missing	30	30	+
B|2	A|2	90	3	0	0	1	3	1	3	missing	missing	missing	missing	30	30	+
B|2	A|2	70	4	0	0	2	5	3	6	missing	missing	missing	missing	30	30	+
B|2	A|2	70	3	0	0	6	8	24	26	missing	missing	missing	missing	30	30	+
B|2	A|2	70	11	0	0	10	20	10	20	missing	missing	missing	missing	30	30	+
B|2	A|2	80	6	0	0	23	28	17	22	missing	missing	missing	missing	30	30	-
B|2	A|2	90	3	0	0	27	29	27	29	missing	missing	missing	missing	30	30	+
B|3	A|3	90	3	0	0	1	3	1	3	missing	missing	missing	missing	30	30	+
B|3	A|3	70	4	0	0	2	5	3	6	missing	missing	missing	missing	30	30	+
B|3	A|3	70	3	0	0	6	8	24	26	missing	missing	missing	missing	30	30	+
B|3	A|3	70	11	0	0	10	20	10	20	missing	missing	missing	missing	30	30	+
B|3	A|3	80	6	0	0	23	28	17	22	missing	missing	missing	missing	30	30	-
B|3	A|3	90	3	0	0	27	29	27	29	missing	missing	missing	missing	30	30	+
